Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000132,Fortune Green,Camden,0.87,13525.37,83.52,4.9,183.83,4.88,0.17,115.63,0.170541964,7.633687418
E05000133,Frognal and Fitzjohns,Camden,0.89,8947.81,85.13,3.6,115.25,1.7,0.25,71.62,0.250562655,7.633687418
E05000134,Gospel Oak,Camden,0.8,18522.43,81.31,8.7,76.68,6.25,0.71,93.57,0.71099526,7.731649684
E05000135,Hampstead Town,Camden,0.89,5064.49,84.68,4.3,1253.04,1.55,0.53,74.24,0.532962552,7.633687418
E05000136,Haverstock,Camden,0.8,19304.64,81.45,7.5,97.09,7.61,0.4,144.36,0.404837159,7.731649684
E05000137,Highgate,Camden,0.84,3726.4,84.29,11.7,1857.71,4.91,0.64,106.1,0.639668579,7.633687418
E05000138,Holborn and Covent Garden,Camden,0.82,12326.39,82.99,5.2,103.02,6.1,0.85,63.11,0.845572801,7.503482145
E05000139,Kentish Town,Camden,0.83,14700.39,77.21,10.8,68.46,5.69,0.67,105.36,0.671516132,7.731649684
E05000140,Kilburn,Camden,0.82,20199.71,80.65,4.4,108.68,13.05,0.58,160.15,0.582120725,7.633687418
E05000141,King's Cross,Camden,0.83,21429.51,81.48,7,93.05,7.47,0.42,87.81,0.422646849,7.503482145
E05000142,Regent's Park,Camden,0.83,11450.37,79.79,6.2,367.7,6.4,0.67,62.38,0.666006205,7.503482145
E05000145,West Hampstead,Camden,0.86,15691.09,83.26,4.5,81.61,4.41,0.08,116.1,0.083008402,7.633687418
E05000146,Addiscombe,Croydon,0.84,11345.45,80.69,1.4,150.19,4.96,0.65,91.26,0.649003241,7.568437302
E05000148,Bensham Manor,Croydon,0.84,11860.3,83.07,1.3,164.94,8.43,0.8,100.13,0.799291751,7.515675046
E05000149,Broad Green,Croydon,0.82,8059.24,80.92,1.3,410.47,8.37,1.66,170.3,1.65554156,7.568437302
E05000150,Coulsdon East,Croydon,0.85,1620.56,84.75,0.9,4838.36,3.81,0.57,48.99,0.569480057,7.947382419
E05000151,Coulsdon West,Croydon,0.82,3078.08,80.82,0.9,1411.37,2.71,0.3,51.68,0.296260532,7.947382419
E05000153,Fairfield,Croydon,0.85,6343.96,80.71,0.9,1233.75,4.07,0.84,144.44,0.841657772,7.568437302
E05000154,Fieldway,Croydon,0.85,7964.31,78.17,0.3,414.83,10.23,4.25,83.36,4.252025151,7.633344657
E05000155,Heathfield,Croydon,0.83,1529.05,83.49,0.6,5954.76,4.04,1.36,112.98,1.356984449,7.633344657
E05000156,Kenley,Croydon,0.85,2409.29,80.4,1.2,2590.08,3.88,0.2,54.16,0.199672987,7.947382419
E05000157,New Addington,Croydon,0.79,4559.31,78.42,0.3,840.2,7.92,3.41,103.3,3.412255627,7.633344657
E05000158,Norbury,Croydon,0.82,7144.05,81.52,1.8,553.52,6.37,0.79,94.26,0.785950817,7.515675046
E05000159,Purley,Croydon,0.88,3829.62,82.49,1.1,445.37,4.26,0.27,92.35,0.272773868,7.947382419
E05000160,Sanderstead,Croydon,0.86,2049.8,83.87,0.9,3303.75,2.79,0.31,52.05,0.311842208,7.947382419
E05000161,Selhurst,Croydon,0.81,8470.79,77.68,1.4,467.65,9.68,1.21,142.43,1.211601892,7.515675046
E05000162,Selsdon and Ballards,Croydon,0.81,1855.76,85.47,0.7,3517.95,2.78,0.25,55.99,0.254996665,7.633344657
E05000163,Shirley,Croydon,0.84,5158.57,83.62,1.1,602.1,4.65,1.11,56.42,1.114831532,7.633344657
E05000164,South Norwood,Croydon,0.82,7438.05,80.12,2,564.71,9.36,0.6,122.25,0.603040304,7.278810493
E05000165,Thornton Heath,Croydon,0.84,10354.55,79.26,1.3,239.88,11.14,1.08,117.2,1.084094294,7.515675046
E05000166,Upper Norwood,Croydon,0.85,6455.34,80.23,2.7,673.54,7.88,0.43,106.06,0.433572554,7.278810493
E05000167,Waddon,Croydon,0.82,5054.34,78.02,1.4,1079.5,6.42,0.58,85.32,0.58330033,7.568437302
E05000168,West Thornton,Croydon,0.83,9696.56,80.92,1.4,404.11,7.7,1.08,122.61,1.082162359,7.515675046
E05000169,Woodside,Croydon,0.83,7881.86,80.65,1.5,697.73,8.21,0.54,109.59,0.535442738,7.278810493
E05000170,Acton Central,Ealing,0.84,8903.66,82.22,5.8,305.92,6.81,0.19,131.93,0.193976514,7.728323224
E05000172,Dormers Wells,Ealing,0.8,6298.8,80.44,1.2,972.25,8.82,0.36,105.02,0.358552083,8.106277621
E05000173,Ealing Broadway,Ealing,0.87,8371.57,82.23,3,174.81,3.45,0.78,127.12,0.782123519,7.989558244
E05000174,Ealing Common,Ealing,0.85,6575.23,81.11,4.2,407.33,4.58,0.43,123.43,0.426917139,7.989558244
E05000175,East Acton,Ealing,0.84,4602.06,81.82,4.9,849.11,7.59,1.17,92.26,1.173143467,7.728323224
E05000177,Greenford Broadway,Ealing,0.83,7272.01,79.55,1.7,759.38,7.27,0.85,125.3,0.848929272,7.667606564
