Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000517,East Sheen,Richmond upon Thames,0.91,1904.37,85.86,7.8,4237.17,1.44,0.19,73.52,0.192748357,7.619581754
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,0.88,5694.47,82.26,7,598.75,2.04,0.2,42.71,0.196876912,7.535541275
E05000520,Hampton,Richmond upon Thames,0.86,1530.32,82.88,6,4225.61,1.82,69.58,64.08,0.499389084,7.535541275
E05000521,Hampton North,Richmond upon Thames,0.83,5003.08,84.06,5.5,494.48,2.85,92.08,87.71,0.424962182,7.535541275
E05000522,Hampton Wick,Richmond upon Thames,0.88,4144.57,83.44,6.6,1188.26,1.56,97.99,71.14,0.683001663,7.535541275
E05000523,Heathfield,Richmond upon Thames,0.83,5707.11,83.49,3.6,5954.76,4.04,100,85.06,0.967012508,7.520042539
E05000524,Kew,Richmond upon Thames,0.89,3344.62,85.06,5.7,1573.11,1.54,62.1,70.2,0.174410633,7.619581754
E05000525,Mortlake and Barnes Common,Richmond upon Thames,0.88,5971.62,82.81,8.6,665.01,2.28,100,75.06,0.456671856,7.619581754
E05000526,North Richmond,Richmond upon Thames,0.88,4281.43,84.54,6.2,1416.07,2.04,58.29,90.1,0.46825054,7.619581754
E05000528,South Richmond,Richmond upon Thames,0.9,4256.69,84.27,3.8,1281.32,1.92,100,89,0.092170055,7.619581754
E05000529,South Twickenham,Richmond upon Thames,0.91,6095.54,83.55,5.9,394.38,1.34,97.79,47.81,0.099857815,7.520042539
E05000530,Teddington,Richmond upon Thames,0.88,2560.06,82.9,5.5,2620.06,1.71,86.65,49.52,0.386168441,7.535541275
E05000531,Twickenham Riverside,Richmond upon Thames,0.9,5653.92,82.38,4.8,492.8,1.35,100,66.8,0.383716814,7.520042539
E05000532,West Twickenham,Richmond upon Thames,0.87,4540.72,83.62,6.2,1091.64,1.88,99.89,70.73,0,7.520042539
E05000533,Whitton,Richmond upon Thames,0.84,6356.13,83.03,5.4,314.24,2.65,64.53,82.48,0.306792453,7.520042539
E05000534,Brunswick Park,Southwark,0.83,14807.49,82.86,10.3,892.16,3.84,99.31,104.05,1.212759185,7.660313901
E05000535,Camberwell Green,Southwark,0.84,17105.64,75.81,7.5,110.45,11.67,99.37,137.57,0.465000609,7.660313901
E05000537,Chaucer,Southwark,0.87,19828.68,82.52,7,176.64,6.38,0,94.85,0.986845033,7.711332405
E05000538,College,Southwark,0.85,3924.86,84.27,5.4,1549.91,6.16,97.82,123.21,0.507224311,7.660313901
E05000539,East Dulwich,Southwark,0.9,13244.36,81.12,8.9,26.57,4.62,89.44,93.6,0.081045012,7.660313901
E05000541,Faraday,Southwark,0.84,16136.83,81.1,6.9,306.01,10.59,100,151.42,3.422108119,7.711332405
E05000543,Livesey,Southwark,0.81,10636.49,79.89,4.9,186.38,12.89,58.48,140.49,1.201461186,7.604269317
E05000544,Newington,Southwark,0.82,18418.27,79.13,8.7,157.61,7.74,40.76,142.82,0.706391903,7.711332405
E05000545,Nunhead,Southwark,0.8,11195.92,76.48,7.4,382.8,11.59,50.77,125.23,0.513207721,7.604269317
E05000546,Peckham,Southwark,0.83,17866.97,77.13,5,132.84,14.34,83.46,143.12,0.949713201,7.604269317
E05000547,Peckham Rye,Southwark,0.85,6548.16,81.07,9.2,1062.76,5.85,100,99.06,0.812554485,7.604269317
E05000548,Riverside,Southwark,0.86,12725.98,79.61,5.5,125.15,4.94,51.17,57.58,1.318454224,8.035989319
E05000549,Rotherhithe,Southwark,0.85,10795.58,79.76,5.4,409.78,6.02,100,144.15,0.944569797,8.035989319
E05000550,South Bermondsey,Southwark,0.83,15427.54,79.98,6.3,171.14,8.72,100,133.25,1.95653128,8.035989319
E05000551,South Camberwell,Southwark,0.84,10019.53,82.4,8.8,376.47,6.82,71.19,105.64,0.237205383,7.660313901
E05000552,Surrey Docks,Southwark,0.89,8414.52,80.04,6.3,307.2,3.54,100,133.37,0.743249419,8.035989319
E05000553,The Lane,Southwark,0.83,12261.15,79.6,9.9,144.95,9.77,50.04,169.47,0.449077363,7.604269317
E05000554,Village,Southwark,0.8,4659.61,78.32,10.2,1002.51,11.87,100,104.52,0.241547072,7.660313901
E05000555,Beddington North,Sutton,0.84,2162.45,82.29,2.2,2132.6,3.59,97.83,55.52,0.675628572,7.816575778
E05000556,Beddington South,Sutton,0.84,3695.85,80.98,1.6,1278.47,6.1,96.89,82.46,1.399186064,7.816575778
E05000557,Belmont,Sutton,0.85,4575.52,84.5,1.6,274.54,2.86,98.6,32.53,0.396101851,7.790517773
E05000558,Carshalton Central,Sutton,0.86,5459.3,82.7,2.9,466.92,3.16,70.78,78.83,0.594685436,7.816575778
E05000559,Carshalton South and Clockhouse,Sutton,0.86,1519.27,82.52,1.7,4724.68,2.88,62.88,53.14,1.126617225,7.816575778
E05000560,Cheam,Sutton,0.86,2833.16,82.58,1.8,947.6,1.89,91.62,50.32,0.38697437,7.790517773
E05000561,Nonsuch,Sutton,0.86,5836.83,85.32,2.3,179.76,1.81,92.48,67.34,0.467534935,7.837881964
E05000563,Stonecot,Sutton,0.84,5599.19,81.44,1.9,421.03,2.81,25.93,66.94,0.278661646,7.837881964
E05000564,Sutton Central,Sutton,0.83,9999.24,80.18,2.2,149.98,5.54,12.01,114.56,1.176667156,7.790517773
E05000565,Sutton North,Sutton,0.83,6086.4,81.67,2.1,461.85,3.46,41.59,66.36,1.345254456,7.790517773
E05000566,Sutton South,Sutton,0.83,8242.92,80.47,1.7,167.77,3.71,83.85,51.54,0.207314897,7.790517773
E05000567,Sutton West,Sutton,0.86,6383.92,81.21,2.2,420.9,2.36,57.38,57.12,0.47219431,7.790517773
E05000568,The Wrythe,Sutton,0.83,7683.54,80.55,2.3,242.77,4.13,82.7,81.66,1.370669083,7.837881964
E05000569,Wallington North,Sutton,0.84,7329.62,81.74,2,322.13,3.21,93.52,78.04,0.467139835,7.816575778
E05000570,Wallington South,Sutton,0.82,6438.63,81.59,1.8,193.06,4.44,12.28,78.03,1.17059747,7.816575778
E05000571,Wandle Valley,Sutton,0.82,6550.36,79.56,3,804.93,6.42,100,88.81,0.941108026,7.837881964
E05000572,Worcester Park,Sutton,0.85,6640.78,82.99,2.7,498.82,2.26,58.01,55.21,0.512230553,7.837881964
E05000575,Blackwall and Cubitt Town,Tower Hamlets,0.89,9946.07,80.49,3,431.23,6.5,87.76,60.58,1.734089975,8.423185776
E05000576,Bow East,Tower Hamlets,0.83,9892.9,77.6,9.3,577.59,9.9,100,119.12,3.156108349,7.727915624
E05000577,Bow West,Tower Hamlets,0.83,10685.97,79.66,11,503.26,8.43,100,167.14,3.06843651,7.727915624
E05000578,Bromley-by-Bow,Tower Hamlets,0.81,19471.14,80.22,4.8,155.49,14.95,100,88.73,2.536243957,7.727915624
E05000580,Limehouse,Tower Hamlets,0.88,17372.15,77.19,4.5,150.21,11.05,75.64,95.19,2.980295258,8.423185776
E05000581,Mile End and Globe Town,Tower Hamlets,0.82,18284.44,77.47,8.9,154.46,11.13,100,86.95,1.176176761,7.834292413
E05000586,Shadwell,Tower Hamlets,0.8,16963.66,78.95,5.4,101.06,14.4,44.89,98.65,2.4961863,8.076467392
E05000587,Spitalfields and Banglatown,Tower Hamlets,0.83,19037.62,78.62,7.5,38.47,10.79,0,103.4,1.061460966,7.834292413
E05000588,Weavers,Tower Hamlets,0.82,20043.65,78.18,12.1,182.74,11.54,86.17,235.89,0.977079547,7.834292413
E05000589,Whitechapel,Tower Hamlets,0.85,21299.56,77.9,7.1,84.26,9.22,0,78.16,1.936772473,8.076467392
E05000590,Cann Hall,Waltham Forest,0.83,16600,78.42,3,60.27,10.26,92.02,103.83,1.22509003,7.744466109
E05000591,Cathall,Waltham Forest,0.83,12881.74,79.46,2.6,238.9,12.92,40.64,102.22,0.704701973,7.744466109
E05000592,Chapel End,Waltham Forest,0.85,8530.94,82.91,3,592.1,7.99,73.43,96.77,0.847149894,7.770076841
E05000593,Chingford Green,Waltham Forest,0.8,2920.06,81.9,1.1,2185.36,4.78,100,86.31,1.450004059,7.770076841
E05000594,Endlebury,Waltham Forest,0.81,5876.47,84.44,1.2,429.04,4.65,100,79.67,0.648731546,7.770076841
E05000595,Forest,Waltham Forest,0.83,6615.11,80.77,3.5,767.67,7.13,73.8,102.64,2.444824832,7.744466109
E05000596,Grove Green,Waltham Forest,0.85,17795.1,81.83,3.1,38.08,7.14,2.13,89.19,0.340459047,7.744466109
E05000597,Hale End and Highams Park,Waltham Forest,0.84,5474.47,83.41,2.3,1009.16,6.62,100,87.46,0.525449291,7.770076841
E05000598,Hatch Lane,Waltham Forest,0.8,4808.52,80.4,1.8,892.68,6.54,100,97.11,1.258978023,7.770076841
E05000599,High Street,Waltham Forest,0.85,5184.25,82.09,4.1,927.56,8.14,2.76,229.65,1.54860064,7.766306459
E05000600,Higham Hill,Waltham Forest,0.81,5020.17,79.3,2.3,906.03,11.28,63.45,84.54,0.979791283,7.766306459
E05000601,Hoe Street,Waltham Forest,0.83,13859.62,79.08,3.1,159.07,11.62,9.61,128.79,0.428872679,7.766306459
E05000602,Larkswood,Waltham Forest,0.8,5895.12,82.16,1.6,676.71,6.39,93.95,114.05,0.613997485,7.770076841
E05000603,Lea Bridge,Waltham Forest,0.82,6499.43,76.87,3.9,982.52,11.68,26.74,117.3,1.649845727,7.744466109
E05000604,Leyton,Waltham Forest,0.83,7773.08,80.35,2.7,566.59,12.47,3.41,113.92,2.033133865,7.744466109
E05000605,Leytonstone,Waltham Forest,0.85,10283.97,79.35,2.9,115.97,7.29,87.56,128.65,1.544239124,7.744466109
E05000606,Markhouse,Waltham Forest,0.82,10674,79.94,3.3,460.34,11.29,0.18,114.99,1.677287623,7.766306459
E05000607,Valley,Waltham Forest,0.81,6151.94,81.29,1.8,401.75,7.82,79.93,158.03,0.695150496,7.770076841
E05000608,William Morris,Waltham Forest,0.84,15564.56,79.49,3.7,53.52,8.96,8.34,95.62,0.44965534,7.766306459
E05000609,Wood Street,Waltham Forest,0.83,7982.66,79.53,3.7,709.5,9.71,95.65,99.73,0.520712858,7.766306459
E05000610,Balham,Wandsworth,0.89,12590.23,83.59,7.9,138.14,2.28,100,141.78,0.270546758,7.450091055
E05000612,Earlsfield,Wandsworth,0.89,11718.64,81.06,6.5,236.24,3.02,92.41,84.15,0.387509894,7.614592821
E05000613,East Putney,Wandsworth,0.89,10055.94,83.04,7.1,186.67,2.14,59.04,73.53,0.332082548,7.990104503
E05000614,Fairfield,Wandsworth,0.85,10706.53,80.71,7.7,1233.75,4.07,32.07,101.09,0.136550853,7.990104503
E05000615,Furzedown,Wandsworth,0.84,10939.14,81.47,7.2,222.3,6.36,87.42,76.37,0,7.614592821
E05000616,Graveney,Wandsworth,0.85,15963.29,82.84,5.5,82.18,6.54,52.77,138.65,0.262589501,7.614592821
E05000617,Latchmere,Wandsworth,0.91,14343.78,78.67,7,205.84,7.87,57.13,121.62,0.974451889,7.450091055
E05000619,Northcote,Wandsworth,0.92,9395.47,82.92,8.8,553.33,2.31,100,146.44,0,7.450091055
E05000620,Queenstown,Wandsworth,0.85,6566.71,80.21,8.6,876.9,4.69,89.25,78.75,1.221858805,7.450091055
E05000623,Shaftesbury,Wandsworth,0.85,15041.14,80.06,9.2,58.6,2.77,100,127.42,0.281838646,7.450091055
E05000624,Southfields,Wandsworth,0.9,11694.48,82.44,7.3,248.84,2.64,89.78,99.53,0.67512284,7.990104503
E05000625,Thamesfield,Wandsworth,0.91,8858.93,84.58,8.6,379.22,1.3,83.59,113.61,0.201665976,7.990104503
E05000626,Tooting,Wandsworth,0.86,10523.69,80.18,4.3,428.79,5.61,92.57,74.33,0.614390546,7.614592821
E05000627,Wandsworth Common,Wandsworth,0.88,5384.42,79.98,9.3,1097.93,2.02,98.83,83.93,1.112418818,7.614592821
E05000628,West Hill,Wandsworth,0.86,9910.55,78.92,4.9,401.73,4.64,95.58,63.19,0.243313939,7.990104503
E05000629,West Putney,Wandsworth,0.86,8320.69,80.82,7.2,336.86,3.79,100,74.79,0.203033945,7.990104503
E05000630,Abbey Road,Westminster,0.85,11939.73,86.82,3.1,84.38,2.26,56.97,60.56,0,7.993658329
E05000631,Bayswater,Westminster,0.87,22308.88,84.22,6.3,25.07,4.2,95.15,134.51,0.096997188,7.934761553
E05000632,Bryanston and Dorset Square,Westminster,0.87,19114.8,86.29,4.8,25.76,3.56,100,104.37,0.166636817,7.934761553
E05000633,Churchill,Westminster,0.74,19535.3,83.91,5.4,54.41,6.58,90.31,117.68,0.207750268,8.006510978
E05000634,Church Street,Westminster,0.74,28862.61,79.69,4,52.73,12.27,87.92,96.47,0.594685142,7.993658329
E05000635,Harrow Road,Westminster,0.81,27559.6,79.81,6.6,19.57,10.5,100,109.19,0.498124167,7.993658329
E05000636,Hyde Park,Westminster,0.86,16072.99,84,4.6,124.36,2.91,95.23,64.82,0,7.934761553
E05000637,Knightsbridge and Belgravia,Westminster,0.89,2836.07,92.5,2.9,1861.39,0.41,100,71.55,0.215549307,8.006510978
E05000638,Lancaster Gate,Westminster,0.89,23795.24,84.24,6,57.57,3.29,100,189.11,0.15143176,7.934761553
E05000639,Little Venice,Westminster,0.85,19399.37,81.7,4.6,117.43,3.33,17.94,116.72,0.093959469,7.993658329
E05000640,Maida Vale,Westminster,0.84,18109.91,83.46,5.3,161.87,4.69,21.59,118.49,0.39140883,7.993658329
E05000641,Marylebone High Street,Westminster,0.9,12043.96,84.92,4.4,73.05,1.26,99.2,75.71,0,7.934761553
E05000642,Queen's Park,Westminster,0.77,23746.14,78.51,6.1,27.98,13.31,100,107.54,0.477149266,7.993658329
E05000643,Regent's Park,Westminster,0.83,6017.29,79.79,3.5,367.7,6.4,100,71.21,0.082793655,7.993658329
E05000646,Vincent Square,Westminster,0.84,17444.61,82.56,4.3,69.51,4.16,59.33,38.59,0.600162818,8.006510978
E05000648,Westbourne,Westminster,0.77,20633.53,77.97,5.1,127.51,9.38,86.62,101.41,0.46981944,7.993658329
E05000649,West End,Westminster,0.86,6684.87,84.39,3.4,69.15,3.14,86.43,123.7,0.661323619,8.006510978
